num_followers,num_streams,name
0,50047827,Bad Bunny
0,31115510,Jhay Cortez
0,42099705,Miley Cyrus
0,59027368,Dua Lipa
0,69055072,Ariana Grande
0,49736031,Billie Eilish
0,64447179,The Weeknd
0,47935692,Shawn Mendes
0,70590297,Justin Bieber
0,42152212,DaBaby
0,42152212,DaBaby
0,2759070,Arlo Parks
0,369251,Mustafa
0,4195524,Phoebe Bridgers
0,1154424,Perfume Genius
0,1670632,Fiona Apple
0,457005,Samia
0,7321673,James Blake
0,738245,Adrianne Lenker
0,1907830,070 Shake
0,1919223,Gus Dapperton
0,22523797,Lil Wayne
0,53680118,Drake
0,42152212,DaBaby
0,42152212,DaBaby
0,7742722,CJ
0,5447504,DDG
0,8440167,Blueface
0,29842456,Internet Money
0,34279878,Gunna
0,33493159,Don Toliver
0,10312757,NAV
0,28540492,Future
0,20369501,Lil Uzi Vert
0,2279103,Granger Smith
0,2921153,Chase Rice
0,11082755,Florida Georgia Line
0,2976105,Parker McCollum
0,1441751,Priscilla Block
0,4125029,Jordan Davis
0,3466386,Mitchell Tenpenny
0,15417117,Dan + Shay
0,1481868,Ashley McBryde
0,11328621,Luke Combs
0,3143211,Jazmine Sullivan
0,3727399,Chloe x Halle
0,11454983,H.E.R.
0,13930400,PARTYNEXTDOOR
0,3216893,Teyana Taylor
0,19843,Iman.
0,14184294,SZA
0,4758464,The Neptunes
0,14234117,Pharrell Williams
0,28131038,Ty Dolla $ign
0,7097363,Ella Mai
0,10255045,Bryson Tiller
0,6954298,The Smashing Pumpkins
0,12867872,Foo Fighters
0,10885423,System Of A Down
0,6694619,Bring Me The Horizon
0,314803,Ayron Jones
0,2952153,Deftones
0,3025786,Royal Blood
0,1607300,The Pretty Reckless
0,1111927,Badflower
0,3088860,Nothing But Thieves
0,3855008,Nathan Dawe
0,21209624,Little Mix
0,6562345,twocolors
0,4240934,Pia Mia
0,5869822,HVME
0,2085829,John Summit
0,4026563,SIDEPIECE
0,4387085,Tony Igy
0,21194673,MEDUZA
0,14811396,Dermot Kennedy
0,269923,Jafunk
0,194600,Nic Hanson
0,41367,NanaBcool
0,28181,Hemai
0,8412,Emilia Anastazja
0,422453,Cory Wong
0,325799,Kimbra
0,132574,Dirty Loops
0,216542,Sola Rosa
0,47124,Josh Barry
0,36418,Sons Of The James
0,39739,Rob Milton
0,101010,DJ Harrison
0,3439916,EXO
0,1345886,CHEN
0,1888093,BAEKHYUN
0,190461,Tigran Hamasyan
0,405954,Joshua Redman
0,738819,Brad Mehldau
0,38836,Brian Blade
0,243962,Christian McBride
0,186785,Nubya Garcia
0,28458,Shabaka and the Ancestors
0,47234,Immanuel Wilkins
0,383131,John Scofield
0,144338,Steve Swallow
0,72062,Bill Stewart
0,22106,Nduduzo Makhathini
